epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.221,3.6623,2.40931,2.47923,0.6858,0.55894,0.62195,0.29591,1.96113,1.24141,1.52659,0.07006,0.00332667,0.00332667
2,238.738,1.89699,1.11233,1.35884,0.79646,0.68873,0.7858,0.4286,1.57579,1.00227,1.25149,0.040027,0.00662703,0.00662703
3,349.038,1.60667,0.93993,1.19585,0.84856,0.76313,0.85984,0.50438,1.40716,0.83215,1.16079,0.00996107,0.0098944,0.0098944
4,460.089,1.43135,0.82861,1.11767,0.89193,0.81555,0.90224,0.61186,1.09204,0.7167,1.03936,0.0098515,0.0098515,0.0098515
5,569.854,1.27469,0.7243,1.0661,0.90496,0.84069,0.92084,0.63994,1.01405,0.60743,1.01115,0.009802,0.009802,0.009802
6,679.509,1.1793,0.65977,1.03092,0.90899,0.85501,0.93321,0.66426,0.96775,0.56562,0.98708,0.0097525,0.0097525,0.0097525
7,790.68,1.11726,0.62001,1.01053,0.91356,0.8597,0.93724,0.67057,0.963,0.54511,0.98313,0.009703,0.009703,0.009703
8,903.516,1.07467,0.59321,0.99708,0.90557,0.86109,0.93873,0.68294,0.92027,0.5353,0.9829,0.0096535,0.0096535,0.0096535
9,1016.02,1.03642,0.56746,0.98362,0.91899,0.86762,0.94455,0.70723,0.87268,0.50733,0.95514,0.009604,0.009604,0.009604
10,1146.59,1.00713,0.55185,0.97423,0.91406,0.88336,0.94902,0.71682,0.84355,0.47737,0.94508,0.0095545,0.0095545,0.0095545
11,1319.28,0.97714,0.53431,0.96682,0.91854,0.87554,0.94903,0.72903,0.80813,0.46442,0.9334,0.009505,0.009505,0.009505
12,1495.8,0.96009,0.52524,0.96127,0.92496,0.87858,0.94951,0.72776,0.81121,0.45334,0.93603,0.0094555,0.0094555,0.0094555
13,1666.87,0.94007,0.51317,0.95494,0.91195,0.89644,0.95352,0.73828,0.78026,0.44955,0.92447,0.009406,0.009406,0.009406
14,1840.9,0.92466,0.50353,0.95369,0.91957,0.89123,0.95372,0.74106,0.77255,0.43645,0.92289,0.0093565,0.0093565,0.0093565
15,2016.02,0.91274,0.49384,0.94671,0.92315,0.8881,0.95554,0.74209,0.76874,0.43219,0.92033,0.009307,0.009307,0.009307
16,2193.49,0.9039,0.48695,0.94512,0.91817,0.89817,0.95684,0.75168,0.74785,0.42763,0.91164,0.0092575,0.0092575,0.0092575
17,2363.89,0.88787,0.47956,0.93945,0.92334,0.8976,0.95634,0.75019,0.74635,0.42881,0.91074,0.009208,0.009208,0.009208
18,2530.31,0.87475,0.47222,0.93652,0.9242,0.89644,0.95507,0.75507,0.74239,0.41422,0.91094,0.0091585,0.0091585,0.0091585
19,2701.27,0.86755,0.46733,0.93471,0.92055,0.90187,0.95715,0.76195,0.7281,0.41304,0.90942,0.009109,0.009109,0.009109
20,2873.74,0.85806,0.46238,0.93087,0.92543,0.90034,0.95978,0.76154,0.72689,0.40489,0.90704,0.0090595,0.0090595,0.0090595
21,3042.28,0.85446,0.45785,0.92756,0.92611,0.89956,0.95922,0.76841,0.71627,0.40366,0.90219,0.00901,0.00901,0.00901
22,3214.27,0.84455,0.45623,0.92889,0.91959,0.91044,0.96037,0.76638,0.72473,0.39771,0.90761,0.0089605,0.0089605,0.0089605
23,3384.06,0.83898,0.44976,0.92357,0.92358,0.89364,0.95776,0.76837,0.71189,0.39901,0.90084,0.008911,0.008911,0.008911
24,3552.07,0.83199,0.44525,0.92274,0.92581,0.90102,0.95856,0.76867,0.70576,0.39361,0.89976,0.0088615,0.0088615,0.0088615
25,3722.14,0.82161,0.44127,0.91893,0.92047,0.90627,0.95913,0.77203,0.70235,0.38959,0.89953,0.008812,0.008812,0.008812
26,3890.59,0.82173,0.43751,0.92135,0.92304,0.91045,0.96382,0.77746,0.68938,0.38451,0.89495,0.0087625,0.0087625,0.0087625
27,4062.33,0.81831,0.43401,0.91962,0.9225,0.90221,0.95858,0.77183,0.70341,0.39,0.89739,0.008713,0.008713,0.008713
28,4235.85,0.81304,0.43524,0.91455,0.92732,0.90558,0.96068,0.77977,0.69191,0.38103,0.89503,0.0086635,0.0086635,0.0086635
