epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3518,3.36707,2.30339,2.21426,0.68553,0.56656,0.63839,0.28532,2.00379,1.26971,1.5123,0.07006,0.00332667,0.00332667
2,194.967,1.95095,1.17094,1.36747,0.79466,0.68247,0.76327,0.39927,1.68706,1.00055,1.28922,0.040027,0.00662703,0.00662703
3,293.802,1.72572,1.01571,1.23884,0.78992,0.70192,0.79046,0.39181,1.67334,0.9623,1.25218,0.00996107,0.0098944,0.0098944
4,393.875,1.5564,0.92014,1.16425,0.87097,0.78265,0.87935,0.55122,1.2549,0.76152,1.08726,0.0098515,0.0098515,0.0098515
5,492.895,1.40458,0.81812,1.10972,0.88893,0.79924,0.89478,0.5801,1.19165,0.71138,1.07267,0.009802,0.009802,0.009802
6,589.886,1.31331,0.75936,1.07613,0.88809,0.82367,0.90733,0.61405,1.09748,0.65234,1.02779,0.0097525,0.0097525,0.0097525
7,688.873,1.25268,0.71614,1.05425,0.89623,0.82646,0.91029,0.62717,1.05249,0.63044,1.01293,0.009703,0.009703,0.009703
8,788.471,1.21119,0.68691,1.04046,0.89581,0.83375,0.91741,0.64506,1.00043,0.60632,0.99933,0.0096535,0.0096535,0.0096535
9,885.414,1.1693,0.66266,1.02612,0.90492,0.83806,0.91886,0.64757,1.01929,0.58439,0.99408,0.009604,0.009604,0.009604
10,989.539,1.14575,0.63706,1.01679,0.90475,0.85374,0.93161,0.67015,0.94862,0.55581,0.97514,0.0095545,0.0095545,0.0095545
11,1090.71,1.11313,0.61951,1.00819,0.91258,0.84205,0.92654,0.67117,0.96166,0.55432,0.97668,0.009505,0.009505,0.009505
12,1226.98,1.09703,0.60908,1.00273,0.91202,0.8589,0.93403,0.68393,0.91337,0.53266,0.96676,0.0094555,0.0094555,0.0094555
13,1379.7,1.07849,0.59887,0.99584,0.91126,0.85594,0.93442,0.68676,0.90154,0.52869,0.96055,0.009406,0.009406,0.009406
14,1532.31,1.06189,0.58546,0.99488,0.91276,0.85841,0.93675,0.69051,0.90527,0.5211,0.96061,0.0093565,0.0093565,0.0093565
15,1679.39,1.04783,0.577,0.98823,0.91598,0.87297,0.94435,0.69991,0.88335,0.5041,0.95224,0.009307,0.009307,0.009307
16,1833.55,1.04295,0.56699,0.98548,0.91461,0.87028,0.94085,0.70186,0.87032,0.50128,0.94689,0.0092575,0.0092575,0.0092575
17,1988.33,1.02186,0.56261,0.97965,0.91679,0.86866,0.93909,0.70247,0.86695,0.49694,0.94743,0.009208,0.009208,0.009208
18,2141.8,1.01056,0.55247,0.97626,0.91464,0.87445,0.94176,0.70678,0.85792,0.487,0.94439,0.0091585,0.0091585,0.0091585
19,2290.46,1.00157,0.54574,0.97346,0.92307,0.87744,0.94875,0.71736,0.84061,0.47821,0.93887,0.009109,0.009109,0.009109
20,2434.9,0.99372,0.54026,0.97089,0.92394,0.87364,0.94935,0.71601,0.84456,0.47826,0.93745,0.0090595,0.0090595,0.0090595
21,2578.08,0.98951,0.53601,0.96594,0.92145,0.87283,0.94541,0.71727,0.84292,0.47438,0.93909,0.00901,0.00901,0.00901
22,2721.15,0.97994,0.53785,0.96855,0.92754,0.87841,0.94679,0.71938,0.83374,0.46881,0.93759,0.0089605,0.0089605,0.0089605
23,2870.42,0.9766,0.52754,0.9635,0.91909,0.88332,0.94927,0.72064,0.83177,0.46953,0.93417,0.008911,0.008911,0.008911
24,3013.92,0.96664,0.51943,0.96034,0.91962,0.87776,0.94682,0.72177,0.82982,0.46598,0.93192,0.0088615,0.0088615,0.0088615
25,3161.15,0.95709,0.51978,0.9571,0.92163,0.87776,0.94505,0.72091,0.81945,0.46094,0.93087,0.008812,0.008812,0.008812
26,3306.32,0.95713,0.5143,0.96064,0.92188,0.88475,0.95093,0.73037,0.80592,0.45133,0.92676,0.0087625,0.0087625,0.0087625
27,3447.35,0.95288,0.51321,0.95766,0.92048,0.88274,0.94962,0.72567,0.82423,0.45719,0.93014,0.008713,0.008713,0.008713
28,3589.88,0.9499,0.51118,0.95404,0.92743,0.87931,0.9495,0.72776,0.81087,0.45014,0.9278,0.0086635,0.0086635,0.0086635
29,3730.74,0.94265,0.50741,0.9492,0.92761,0.88267,0.9514,0.72983,0.80309,0.4475,0.92363,0.008614,0.008614,0.008614
30,3877.37,0.93081,0.50427,0.95197,0.92178,0.8866,0.95193,0.73444,0.79359,0.44165,0.92122,0.0085645,0.0085645,0.0085645
31,4019.42,0.93124,0.49681,0.95083,0.91882,0.8893,0.95113,0.73406,0.79948,0.44452,0.9232,0.008515,0.008515,0.008515
