epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4085,3.6868,2.38323,2.39821,0.67668,0.56306,0.61009,0.28462,1.95947,1.28199,1.49029,0.07006,0.00332667,0.00332667
2,183.844,1.90465,1.12176,1.35224,0.81825,0.70745,0.8035,0.45424,1.51577,0.92275,1.234,0.040027,0.00662703,0.00662703
3,280.19,1.62455,0.95192,1.19975,0.82668,0.75642,0.8448,0.49081,1.38445,0.85639,1.15258,0.00996107,0.0098944,0.0098944
4,378.063,1.44648,0.86044,1.12488,0.88499,0.80734,0.89648,0.59313,1.14168,0.70603,1.04853,0.0098515,0.0098515,0.0098515
5,479.059,1.29901,0.75486,1.07504,0.89135,0.83661,0.91216,0.61791,1.0682,0.64762,1.02248,0.009802,0.009802,0.009802
6,577.674,1.2158,0.69333,1.04461,0.89763,0.86039,0.9271,0.64371,1.02215,0.60072,1.00138,0.0097525,0.0097525,0.0097525
7,677.542,1.15171,0.65325,1.02294,0.90453,0.85628,0.93016,0.66552,0.96034,0.56266,0.97917,0.009703,0.009703,0.009703
8,776.36,1.11334,0.62025,1.01058,0.90986,0.8623,0.93684,0.67726,0.9201,0.54101,0.9777,0.0096535,0.0096535,0.0096535
9,873.639,1.07585,0.59841,0.99715,0.91014,0.87318,0.93989,0.69389,0.89306,0.52065,0.95917,0.009604,0.009604,0.009604
10,975.054,1.04847,0.57597,0.98755,0.91103,0.87595,0.94241,0.69832,0.86778,0.50601,0.94969,0.0095545,0.0095545,0.0095545
11,1074.41,1.01991,0.56203,0.97928,0.91308,0.88125,0.94448,0.70766,0.86698,0.49171,0.94719,0.009505,0.009505,0.009505
12,1194.13,1.00381,0.54917,0.9746,0.9101,0.88637,0.94801,0.72165,0.82206,0.47257,0.94094,0.0094555,0.0094555,0.0094555
13,1344.25,0.98357,0.53936,0.96762,0.92162,0.87086,0.94481,0.71969,0.83037,0.47742,0.9395,0.009406,0.009406,0.009406
14,1496.77,0.96975,0.53012,0.96655,0.91411,0.89042,0.95031,0.72614,0.80978,0.46511,0.93342,0.0093565,0.0093565,0.0093565
15,1645.78,0.95671,0.51687,0.96006,0.91408,0.89586,0.95522,0.73308,0.7987,0.45423,0.92511,0.009307,0.009307,0.009307
16,1797.5,0.94922,0.51299,0.95708,0.91458,0.89435,0.95304,0.73392,0.78799,0.44788,0.92353,0.0092575,0.0092575,0.0092575
17,1950.72,0.93234,0.50567,0.95242,0.91638,0.89516,0.95346,0.7394,0.78772,0.44688,0.91964,0.009208,0.009208,0.009208
18,2106.03,0.9199,0.49692,0.94866,0.91594,0.90164,0.95482,0.74123,0.77711,0.43526,0.92022,0.0091585,0.0091585,0.0091585
19,2258.03,0.91281,0.49083,0.94645,0.91533,0.9032,0.95695,0.74636,0.7723,0.4334,0.91717,0.009109,0.009109,0.009109
